State,District,Market,Commodity,Modal Price,,
Gujarat,Amreli,Damnagar,Bhindi(Ladies Finger),4350,,
Gujarat,Amreli,Damnagar,Brinjal,2450,,
Gujarat,Amreli,Damnagar,Cabbage,2700,,
Gujarat,Amreli,Damnagar,Cauliflower,7250,,
Gujarat,Amreli,Damnagar,Coriander(Leaves),8850,,
Gujarat,Amreli,Damnagar,Ginger(Green),12500,,
Gujarat,Amreli,Damnagar,Green Chilli,7550,,
Gujarat,Amreli,Damnagar,Guar,7350,,
Gujarat,Amreli,Damnagar,Lemon,2200,,
Gujarat,Amreli,Damnagar,Tomato,9950,,
Haryana,Gurgaon,Gurgaon,Apple,15000,,
Himachal Pradesh,Kangra,Palampur,Apple,20500,,
Himachal Pradesh,Kangra,Palampur,Apple,10500,,
Himachal Pradesh,Kangra,Palampur,Banana,3750,,
Himachal Pradesh,Kangra,Palampur,Beetroot,3750,,
Himachal Pradesh,Kangra,Palampur,Bhindi(Ladies Finger),3900,,
Himachal Pradesh,Kangra,Palampur,Bitter gourd,3750,,
Himachal Pradesh,Kangra,Palampur,Bottle gourd,3300,,
Himachal Pradesh,Kangra,Palampur,Brinjal,5100,,
Himachal Pradesh,Kangra,Palampur,Cabbage,2350,,
Himachal Pradesh,Kangra,Palampur,Capsicum,11500,,
Himachal Pradesh,Kangra,Palampur,Carrot,3250,,
Himachal Pradesh,Kangra,Palampur,Cauliflower,4750,,
Himachal Pradesh,Kangra,Palampur,Colacasia,4250,,
Himachal Pradesh,Kangra,Palampur,Coriander(Leaves),14500,,
Himachal Pradesh,Kangra,Palampur,Cucumbar(Kheera),3500,,
Himachal Pradesh,Kangra,Palampur,French Beans (Frasbean),6500,,
Himachal Pradesh,Kangra,Palampur,Garlic,11500,,
Himachal Pradesh,Kangra,Palampur,Ginger(Green),19500,,
Himachal Pradesh,Kangra,Palampur,Green Chilli,5750,,
Himachal Pradesh,Kangra,Palampur,Guava,9750,,
Himachal Pradesh,Kangra,Palampur,Jack Fruit,3750,,
Himachal Pradesh,Kangra,Palampur,Lemon,4650,,
Himachal Pradesh,Kangra,Palampur,Mango,3750,,
Himachal Pradesh,Kangra,Palampur,Mango,5500,,
Himachal Pradesh,Kangra,Palampur,Mashrooms,3250,,
Himachal Pradesh,Kangra,Palampur,Mousambi(Sweet Lime),4750,,
Himachal Pradesh,Kangra,Palampur,Onion,2100,,
Himachal Pradesh,Kangra,Palampur,Papaya,4350,,
Himachal Pradesh,Kangra,Palampur,Pear(Marasebu),9500,,
Himachal Pradesh,Kangra,Palampur,Peas Wet,7500,,
Himachal Pradesh,Kangra,Palampur,Pineapple,4750,,
Himachal Pradesh,Kangra,Palampur,Plum,5500,,
Himachal Pradesh,Kangra,Palampur,Potato,1900,,
Himachal Pradesh,Kangra,Palampur,Pumpkin,2000,,
Himachal Pradesh,Kangra,Palampur,Raddish,2350,,
Himachal Pradesh,Kangra,Palampur,Spinach,4750,,
Himachal Pradesh,Kangra,Palampur,Sponge gourd,3250,,
Himachal Pradesh,Kangra,Palampur,Tinda,4750,,
Kerala,Alappuzha,Harippad,Amaranthus,4000,,
Kerala,Alappuzha,Harippad,Amphophalus,5000,,
Kerala,Alappuzha,Harippad,Ashgourd,3000,,
Kerala,Alappuzha,Harippad,Banana,5000,,
Kerala,Alappuzha,Harippad,Banana - Green,3000,,
Kerala,Alappuzha,Harippad,Beetroot,4000,,
Kerala,Alappuzha,Harippad,Bhindi(Ladies Finger),4000,,
Kerala,Alappuzha,Harippad,Bitter gourd,5000,,
Kerala,Alappuzha,Harippad,Bottle gourd,2000,,
Kerala,Alappuzha,Harippad,Brinjal,3000,,
Kerala,Alappuzha,Harippad,Cabbage,3000,,
Kerala,Alappuzha,Harippad,Capsicum,9000,,
Kerala,Alappuzha,Harippad,Carrot,6000,,
Kerala,Alappuzha,Harippad,Cauliflower,4000,,
Kerala,Alappuzha,Harippad,Colacasia,6000,,
Kerala,Alappuzha,Harippad,Cowpea(Veg),4000,,
Kerala,Alappuzha,Harippad,Cucumbar(Kheera),2000,,
Kerala,Alappuzha,Harippad,Drumstick,5000,,
Nagaland,Kohima,Jalukie,Bitter gourd,8200,,
Nagaland,Kohima,Jalukie,Bottle gourd,5500,,
Nagaland,Kohima,Jalukie,Brinjal,8700,,
Nagaland,Kohima,Jalukie,Cabbage,7100,,
Nagaland,Kohima,Jalukie,Ginger(Green),6500,,
Nagaland,Kohima,Jalukie,Green Chilli,20500,,
Nagaland,Kohima,Jalukie,Leafy Vegetable,9200,,
Nagaland,Kohima,Jalukie,Onion,11200,,
Nagaland,Kohima,Jalukie,Potato,11300,,
Nagaland,Kohima,Jalukie,Pumpkin,4500,,
Nagaland,Kohima,Jalukie,Tomato,13100,,
Odisha,Dhenkanal,Hindol,Banana - Green,2200,,
Odisha,Dhenkanal,Hindol,Bhindi(Ladies Finger),4200,,
Odisha,Dhenkanal,Hindol,Bitter gourd,4500,,
Odisha,Dhenkanal,Hindol,Brinjal,4500,,
Odisha,Dhenkanal,Hindol,Cucumbar(Kheera),3800,,
Odisha,Dhenkanal,Hindol,Drumstick,4800,,
Odisha,Dhenkanal,Hindol,Onion,2200,,
Odisha,Dhenkanal,Hindol,Pointed gourd (Parval),4200,,
Odisha,Dhenkanal,Hindol,Potato,1900,,
Odisha,Dhenkanal,Hindol,Pumpkin,1300,,
Odisha,Dhenkanal,Hindol,Ridgeguard(Tori),3200,,
Odisha,Dhenkanal,Hindol,Snakeguard,2800,,
Odisha,Dhenkanal,Hindol,Tomato,11500,,
Punjab,Amritsar,Mehta,Bhindi(Ladies Finger),1500,,
Punjab,Amritsar,Mehta,Bitter gourd,1800,,
Punjab,Amritsar,Mehta,Bottle gourd,2500,,
Punjab,Amritsar,Mehta,Brinjal,3200,,
Punjab,Amritsar,Mehta,Carrot,2300,,
Punjab,Amritsar,Mehta,Ridgeguard(Tori),3000,,
Punjab,Amritsar,Rayya,Bhindi(Ladies Finger),3500,,
Punjab,Amritsar,Rayya,Brinjal,2800,,
Punjab,Amritsar,Rayya,Cauliflower,1800,,
Punjab,Amritsar,Rayya,Green Chilli,2900,,
Punjab,Amritsar,Rayya,Onion,2000,,
Punjab,Amritsar,Rayya,Potato,1800,,
Punjab,Amritsar,Rayya,Raddish,1500,,
Punjab,Amritsar,Rayya,Tomato,1500,,
Rajasthan,Chittorgarh,Kapasan,Wheat,2250,,
Rajasthan,Rajasamand,Rajasamand,Onion,1100,,
Rajasthan,Rajasamand,Rajasamand,Potato,1200,,
Rajasthan,Rajasamand,Rajasamand,Tomato,11000,,
Tripura,North Tripura,Dasda,Bhindi(Ladies Finger),3500,,
Tripura,North Tripura,Dasda,Brinjal,3000,,
Tripura,North Tripura,Dasda,Green Chilli,17500,,
Tripura,North Tripura,Dasda,Onion,3000,,
Tripura,North Tripura,Dasda,Potato,2150,,
Tripura,North Tripura,Dasda,Rice,3300,,
Tripura,North Tripura,Kanchanpur,Bhindi(Ladies Finger),3500,,
Tripura,North Tripura,Kanchanpur,Bitter gourd,4500,,
Tripura,North Tripura,Kanchanpur,Brinjal,2500,,
Tripura,North Tripura,Kanchanpur,Cowpea(Veg),2500,,
Tripura,North Tripura,Kanchanpur,Green Chilli,12500,,
Tripura,North Tripura,Kanchanpur,Masur Dal,10000,,
Tripura,North Tripura,Kanchanpur,Onion,3500,,
Tripura,North Tripura,Kanchanpur,Potato,2500,,
Tripura,North Tripura,Kanchanpur,Rice,4200,,
Uttar Pradesh,Baghpat,Baraut,Apple,4800,,
Uttar Pradesh,Baghpat,Baraut,Banana - Green,1050,,
Uttar Pradesh,Baghpat,Baraut,Bottle gourd,1000,,
Uttar Pradesh,Baghpat,Baraut,Cucumbar(Kheera),1950,,
Uttar Pradesh,Baghpat,Baraut,Green Chilli,2350,,
Uttar Pradesh,Baghpat,Baraut,Onion,1150,,
Uttar Pradesh,Baghpat,Baraut,Potato,1350,,
Uttar Pradesh,Baghpat,Baraut,Pumpkin,650,,
Uttar Pradesh,Baghpat,Baraut,Raddish,650,,
Uttar Pradesh,Baghpat,Baraut,Sponge gourd,1150,,
Uttar Pradesh,Bulandshahar,Gulavati,Bhindi(Ladies Finger),2500,,
Uttar Pradesh,Bulandshahar,Gulavati,Bitter gourd,2900,,
Uttar Pradesh,Bulandshahar,Gulavati,Bottle gourd,1100,,
Uttar Pradesh,Bulandshahar,Gulavati,Brinjal,800,,
Uttar Pradesh,Bulandshahar,Gulavati,Cauliflower,1100,,
Uttar Pradesh,Bulandshahar,Gulavati,Colacasia,1500,,
Uttar Pradesh,Bulandshahar,Gulavati,Cucumbar(Kheera),1400,,
Uttar Pradesh,Bulandshahar,Gulavati,Garlic,3500,,
Uttar Pradesh,Bulandshahar,Gulavati,Ginger(Green),3100,,
Uttar Pradesh,Bulandshahar,Gulavati,Green Chilli,1700,,
Uttar Pradesh,Bulandshahar,Gulavati,Onion,2100,,
Uttar Pradesh,Bulandshahar,Gulavati,Potato,750,,
Uttar Pradesh,Bulandshahar,Gulavati,Pumpkin,800,,
Uttar Pradesh,Bulandshahar,Gulavati,Sponge gourd,1200,,
Uttar Pradesh,Hathras,Shadabad,Onion,950,,
Uttar Pradesh,Hathras,Shadabad,Potato,800,,
Uttar Pradesh,Meerut,Sardhana,Banana - Green,950,,
Uttar Pradesh,Meerut,Sardhana,Green Chilli,1650,,
Uttar Pradesh,Meerut,Sardhana,Onion,1200,,
Uttar Pradesh,Meerut,Sardhana,Potato,1100,,
Uttrakhand,Dehradoon,Vikasnagar,Apple,2500,,
Uttrakhand,Dehradoon,Vikasnagar,Banana,1500,,
Uttrakhand,Dehradoon,Vikasnagar,Bhindi(Ladies Finger),3000,,
Uttrakhand,Dehradoon,Vikasnagar,Bottle gourd,3000,,
Uttrakhand,Dehradoon,Vikasnagar,Brinjal,3000,,
Uttrakhand,Dehradoon,Vikasnagar,Cucumbar(Kheera),2000,,
Uttrakhand,Dehradoon,Vikasnagar,Green Chilli,7000,,
Uttrakhand,Dehradoon,Vikasnagar,Jack Fruit,1800,,
Uttrakhand,Dehradoon,Vikasnagar,Mango,1100,,
Uttrakhand,Dehradoon,Vikasnagar,Onion,1600,,
Uttrakhand,Dehradoon,Vikasnagar,Potato,1300,,
Uttrakhand,Dehradoon,Vikasnagar,Pumpkin,2000,,
Uttrakhand,Dehradoon,Vikasnagar,Sponge gourd,2500,,
Uttrakhand,Dehradoon,Vikasnagar,Tomato,4000,,
Uttrakhand,Haridwar,Roorkee,Bhindi(Ladies Finger),1300,,
Uttrakhand,Haridwar,Roorkee,Bottle gourd,600,,
Uttrakhand,Haridwar,Roorkee,Brinjal,700,,
Uttrakhand,Haridwar,Roorkee,Cucumbar(Kheera),1000,,
Uttrakhand,Haridwar,Roorkee,Green Chilli,2500,,
Uttrakhand,Haridwar,Roorkee,Mango,1300,,
Uttrakhand,Haridwar,Roorkee,Mousambi(Sweet Lime),2000,,
Uttrakhand,Haridwar,Roorkee,Onion,1400,,
Uttrakhand,Haridwar,Roorkee,Papaya,2000,,
Uttrakhand,Haridwar,Roorkee,Pomegranate,4000,,
Uttrakhand,Haridwar,Roorkee,Potato,1200,,
Uttrakhand,Haridwar,Roorkee,Pumpkin,500,,
Uttrakhand,Haridwar,Roorkee,Tomato,3500,,
Andhra Pradesh,Chittor,Palamaner,Green Chilli,9000,,
Andhra Pradesh,Cuddapah,Cuddapah,Groundnut,7036,,
Andhra Pradesh,Cuddapah,Cuddapah,Turmeric,8650,,
Andhra Pradesh,Cuddapah,Cuddapah,Turmeric,9665,,
Andhra Pradesh,East Godavari,Karapa,Paddy(Dhan)(Common),2050,,
Andhra Pradesh,East Godavari,Rajahmundry,Paddy(Dhan)(Common),2040,,
Andhra Pradesh,East Godavari,Rajahmundry,Paddy(Dhan)(Common),2060,,
Andhra Pradesh,East Godavari,Sampara,Paddy(Dhan)(Common),2040,,
Andhra Pradesh,Guntur,Tenali,Black Gram (Urd Beans)(Whole),8200,,
Andhra Pradesh,Guntur,Tenali,Lemon,2500,,
Andhra Pradesh,Kurnool,Alur,Jowar(Sorghum),3060,,
Andhra Pradesh,Kurnool,Atmakur,Maize,1962,,
Andhra Pradesh,Kurnool,Atmakur,Paddy(Dhan)(Common),2040,,
Andhra Pradesh,Kurnool,Nandikotkur,Bengal Gram(Gram)(Whole),5335,,
Andhra Pradesh,Kurnool,Nandikotkur,Maize,1962,,
Andhra Pradesh,Kurnool,Nandikotkur,Paddy(Dhan)(Common),2040,,
Andhra Pradesh,Visakhapatnam,Anakapally,Gur(Jaggery),3850,,
Andhra Pradesh,Visakhapatnam,Anakapally,Gur(Jaggery),3750,,
Bihar,Kishanganj,Bahadurganj,Apple,9400,,
Bihar,Kishanganj,Bahadurganj,Banana,2500,,
Bihar,Kishanganj,Bahadurganj,Bhindi(Ladies Finger),2100,,
